load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301027, 2])
#sentences 30301027
load train data - complete
#sentences 6073
load test data - complete
Batch Size: 1024 Initial LR: 0.0005
Random Initialization - No Saved Model
Epoch:   1 | 19250/39011 batches | lr 0.000451 | ms/batch 553.36 | loss  3.81 | ppl    44.95
Epoch:   1 | 19375/39011 batches | lr 0.000450 | ms/batch 554.69 | loss  3.85 | ppl    47.07
Epoch:   1 | 19500/39011 batches | lr 0.000450 | ms/batch 553.80 | loss  3.81 | ppl    45.05
Epoch:   1 | 19625/39011 batches | lr 0.000450 | ms/batch 552.74 | loss  3.82 | ppl    45.70
Epoch:   1 | 19750/39011 batches | lr 0.000449 | ms/batch 545.36 | loss  3.86 | ppl    47.65
Epoch:   1 | 19875/39011 batches | lr 0.000449 | ms/batch 533.87 | loss  3.79 | ppl    44.34
Epoch:   1 | 20000/39011 batches | lr 0.000449 | ms/batch 521.41 | loss  3.82 | ppl    45.52
Epoch:   1 | 20125/39011 batches | lr 0.000448 | ms/batch 539.64 | loss  3.81 | ppl    45.03
Epoch:   1 | 20250/39011 batches | lr 0.000448 | ms/batch 559.20 | loss  3.81 | ppl    45.13
Epoch:   1 | 20375/39011 batches | lr 0.000448 | ms/batch 550.39 | loss  3.77 | ppl    43.49
Epoch:   1 | 20500/39011 batches | lr 0.000447 | ms/batch 550.71 | loss  3.80 | ppl    44.70
Epoch:   1 | 20625/39011 batches | lr 0.000447 | ms/batch 554.08 | loss  3.83 | ppl    45.95
Epoch:   1 | 20750/39011 batches | lr 0.000447 | ms/batch 555.57 | loss  3.81 | ppl    45.23
Epoch:   1 | 20875/39011 batches | lr 0.000446 | ms/batch 542.78 | loss  3.81 | ppl    45.12
Epoch:   1 | 21000/39011 batches | lr 0.000446 | ms/batch 545.25 | loss  3.79 | ppl    44.25
Epoch:   1 | 21125/39011 batches | lr 0.000446 | ms/batch 552.72 | loss  3.79 | ppl    44.34
Epoch:   1 | 21250/39011 batches | lr 0.000446 | ms/batch 550.51 | loss  3.80 | ppl    44.85
Epoch:   1 | 21375/39011 batches | lr 0.000445 | ms/batch 551.37 | loss  3.80 | ppl    44.58
Epoch:   1 | 21500/39011 batches | lr 0.000445 | ms/batch 546.41 | loss  3.83 | ppl    46.22
Epoch:   1 | 21625/39011 batches | lr 0.000445 | ms/batch 543.96 | loss  3.83 | ppl    46.14
Epoch:   1 | 21750/39011 batches | lr 0.000444 | ms/batch 559.51 | loss  3.81 | ppl    45.27
Epoch:   1 | 21875/39011 batches | lr 0.000444 | ms/batch 544.02 | loss  3.82 | ppl    45.46
Epoch:   1 | 22000/39011 batches | lr 0.000444 | ms/batch 542.07 | loss  3.81 | ppl    45.37
Epoch:   1 | 22125/39011 batches | lr 0.000443 | ms/batch 552.63 | loss  3.78 | ppl    43.85
Epoch:   1 | 22250/39011 batches | lr 0.000443 | ms/batch 548.64 | loss  3.78 | ppl    43.97
Epoch:   1 | 22375/39011 batches | lr 0.000443 | ms/batch 555.54 | loss  3.79 | ppl    44.20
Epoch:   1 | 22500/39011 batches | lr 0.000442 | ms/batch 546.19 | loss  3.80 | ppl    44.70
Epoch:   1 | 22625/39011 batches | lr 0.000442 | ms/batch 551.19 | loss  3.78 | ppl    43.63
Epoch:   1 | 22750/39011 batches | lr 0.000442 | ms/batch 549.14 | loss  3.76 | ppl    43.11
Epoch:   1 | 22875/39011 batches | lr 0.000441 | ms/batch 551.87 | loss  3.75 | ppl    42.64
Epoch:   1 | 23000/39011 batches | lr 0.000441 | ms/batch 549.42 | loss  3.78 | ppl    43.99
Epoch:   1 | 23125/39011 batches | lr 0.000441 | ms/batch 547.44 | loss  3.77 | ppl    43.32
Epoch:   1 | 23250/39011 batches | lr 0.000440 | ms/batch 551.64 | loss  3.78 | ppl    43.96
Epoch:   1 | 23375/39011 batches | lr 0.000440 | ms/batch 552.85 | loss  3.79 | ppl    44.20
Epoch:   1 | 23500/39011 batches | lr 0.000440 | ms/batch 540.58 | loss  3.81 | ppl    45.03
Epoch:   1 | 23625/39011 batches | lr 0.000439 | ms/batch 554.84 | loss  3.82 | ppl    45.51
Epoch:   1 | 23750/39011 batches | lr 0.000439 | ms/batch 551.05 | loss  3.82 | ppl    45.54
Epoch:   1 | 23875/39011 batches | lr 0.000439 | ms/batch 540.54 | loss  3.80 | ppl    44.59
Epoch:   1 | 24000/39011 batches | lr 0.000438 | ms/batch 550.59 | loss  3.81 | ppl    45.30
Epoch:   1 | 24125/39011 batches | lr 0.000438 | ms/batch 560.30 | loss  3.78 | ppl    43.86
Epoch:   1 | 24250/39011 batches | lr 0.000438 | ms/batch 545.97 | loss  3.77 | ppl    43.30
Epoch:   1 | 24375/39011 batches | lr 0.000438 | ms/batch 547.31 | loss  3.74 | ppl    42.06
Epoch:   1 | 24500/39011 batches | lr 0.000437 | ms/batch 553.61 | loss  3.78 | ppl    44.03
Epoch:   1 | 24625/39011 batches | lr 0.000437 | ms/batch 554.01 | loss  3.79 | ppl    44.25
Epoch:   1 | 24750/39011 batches | lr 0.000437 | ms/batch 551.92 | loss  3.78 | ppl    43.68
Epoch:   1 | 24875/39011 batches | lr 0.000436 | ms/batch 559.89 | loss  3.79 | ppl    44.46
Epoch:   1 | 25000/39011 batches | lr 0.000436 | ms/batch 552.74 | loss  3.75 | ppl    42.43
Epoch:   1 | 25125/39011 batches | lr 0.000436 | ms/batch 556.97 | loss  3.79 | ppl    44.15
Epoch:   1 | 25250/39011 batches | lr 0.000435 | ms/batch 547.58 | loss  3.78 | ppl    44.03
Epoch:   1 | 25375/39011 batches | lr 0.000435 | ms/batch 550.62 | loss  3.76 | ppl    42.77
Epoch:   1 | 25500/39011 batches | lr 0.000435 | ms/batch 550.72 | loss  3.77 | ppl    43.45
Epoch:   1 | 25625/39011 batches | lr 0.000434 | ms/batch 549.01 | loss  3.77 | ppl    43.18
Epoch:   1 | 25750/39011 batches | lr 0.000434 | ms/batch 544.40 | loss  3.78 | ppl    43.68
Epoch:   1 | 25875/39011 batches | lr 0.000434 | ms/batch 543.10 | loss  3.79 | ppl    44.22
Epoch:   1 | 26000/39011 batches | lr 0.000433 | ms/batch 544.70 | loss  3.75 | ppl    42.72
Epoch:   1 | 26125/39011 batches | lr 0.000433 | ms/batch 546.40 | loss  3.77 | ppl    43.38
Epoch:   1 | 26250/39011 batches | lr 0.000433 | ms/batch 555.71 | loss  3.83 | ppl    46.21
Epoch:   1 | 26375/39011 batches | lr 0.000432 | ms/batch 557.50 | loss  3.80 | ppl    44.59
Epoch:   1 | 26500/39011 batches | lr 0.000432 | ms/batch 539.24 | loss  3.76 | ppl    42.85
Epoch:   1 | 26625/39011 batches | lr 0.000432 | ms/batch 545.71 | loss  3.76 | ppl    43.10
Epoch:   1 | 26750/39011 batches | lr 0.000431 | ms/batch 547.60 | loss  3.79 | ppl    44.28
Epoch:   1 | 26875/39011 batches | lr 0.000431 | ms/batch 554.95 | loss  3.78 | ppl    43.73
Epoch:   1 | 27000/39011 batches | lr 0.000431 | ms/batch 545.35 | loss  3.77 | ppl    43.59
Epoch:   1 | 27125/39011 batches | lr 0.000430 | ms/batch 548.72 | loss  3.75 | ppl    42.67
Epoch:   1 | 27250/39011 batches | lr 0.000430 | ms/batch 547.43 | loss  3.76 | ppl    42.74
Epoch:   1 | 27375/39011 batches | lr 0.000430 | ms/batch 554.06 | loss  3.75 | ppl    42.54
Epoch:   1 | 27500/39011 batches | lr 0.000430 | ms/batch 551.92 | loss  3.73 | ppl    41.58
Epoch:   1 | 27625/39011 batches | lr 0.000429 | ms/batch 556.12 | loss  3.79 | ppl    44.29
Epoch:   1 | 27750/39011 batches | lr 0.000429 | ms/batch 546.72 | loss  3.75 | ppl    42.60
Epoch:   1 | 27875/39011 batches | lr 0.000429 | ms/batch 554.93 | loss  3.76 | ppl    43.03
Epoch:   1 | 28000/39011 batches | lr 0.000428 | ms/batch 547.07 | loss  3.79 | ppl    44.04
Epoch:   1 | 28125/39011 batches | lr 0.000428 | ms/batch 557.22 | loss  3.79 | ppl    44.12
Epoch:   1 | 28250/39011 batches | lr 0.000428 | ms/batch 548.23 | loss  3.76 | ppl    42.89
Epoch:   1 | 28375/39011 batches | lr 0.000427 | ms/batch 555.38 | loss  3.79 | ppl    44.27
Epoch:   1 | 28500/39011 batches | lr 0.000427 | ms/batch 546.78 | loss  3.76 | ppl    42.81
Epoch:   1 | 28625/39011 batches | lr 0.000427 | ms/batch 548.94 | loss  3.74 | ppl    42.28
Epoch:   1 | 28750/39011 batches | lr 0.000426 | ms/batch 555.42 | loss  3.76 | ppl    43.06
Epoch:   1 | 28875/39011 batches | lr 0.000426 | ms/batch 543.63 | loss  3.78 | ppl    43.72
Epoch:   1 | 29000/39011 batches | lr 0.000426 | ms/batch 551.22 | loss  3.71 | ppl    41.02
Epoch:   1 | 29125/39011 batches | lr 0.000425 | ms/batch 540.33 | loss  3.77 | ppl    43.20
Epoch:   1 | 29250/39011 batches | lr 0.000425 | ms/batch 552.98 | loss  3.76 | ppl    43.02
Epoch:   1 | 29375/39011 batches | lr 0.000425 | ms/batch 545.44 | loss  3.76 | ppl    42.98
Epoch:   1 | 29500/39011 batches | lr 0.000424 | ms/batch 544.51 | loss  3.75 | ppl    42.67
Epoch:   1 | 29625/39011 batches | lr 0.000424 | ms/batch 552.22 | loss  3.77 | ppl    43.52
Epoch:   1 | 29750/39011 batches | lr 0.000424 | ms/batch 545.77 | loss  3.75 | ppl    42.72
Epoch:   1 | 29875/39011 batches | lr 0.000423 | ms/batch 552.61 | loss  3.75 | ppl    42.42
Epoch:   1 | 30000/39011 batches | lr 0.000423 | ms/batch 554.22 | loss  3.75 | ppl    42.53
Epoch:   1 | 30125/39011 batches | lr 0.000423 | ms/batch 560.56 | loss  3.75 | ppl    42.32
Epoch:   1 | 30250/39011 batches | lr 0.000422 | ms/batch 556.49 | loss  3.77 | ppl    43.42
